KGS_ID,Latitude,Longitude,Location,Operator,Lease,API,API_NUM_NODASH,Elevation,Elev_Ref,Depth_start,Depth_stop,URL,url_year,key
1006053306,38.0960211,-101.0404376,"T22S R34W, Sec. 34,    NE SW","Berexco, Inc.",Ruby Jean 2-34,15-055-21182,15055211820000.0,2962.0, KB,3714.0,4943.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347338.las,,1006053306|15055211820000.0
1006053565,38.1029376,-101.0439728,"T22S R34W, Sec. 34,   E2 NW NW","Berexco, Inc.",Cormack 5-34,15-055-21319,15055213190000.0,2959.0, KB,3729.0,4850.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001349492.las,,1006053565|15055213190000.0
1006053070,38.0915291,-101.0278206,"T22S R34W, Sec. 35,   SW SW SW","Oxy USA, Inc.",Loomis 'B' 1,15-055-21051,15055210510000.0,2955.0, KB,0.0,4978.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347320.las,,1006053070|15055210510000.0
1044140704,38.0938633,-101.0278026,"T22S R34W, Sec. 35,  N2 NW SW SW","Oxy USA, Inc.",Loomis 'B' 2,15-055-22173,15055221730000.0,2952.0, KB,1750.0,4891.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044956130.las,2014.0,1044140704|15055221730000.0
1053243548,38.1455888,-101.1067129,"T22S R35W, Sec. 13,  SW SW NE NE",Petroleum Development Co.,ROONEY FARMS 2-13,15-093-22009,15093220090000.0,3008.0, KB,0.0,4933.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2025/1056815521.las,2025.0,1053243548|15093220090000.0
1051713378,38.143008,-101.1237638,"T22S R35W, Sec. 14,  SE NW SE NE",Petroleum Development Company,ENGLER FARMS 1-14,15-093-21981,15093219810000.0,3031.0, KB,0.0,5009.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2023/1053378860.las,2023.0,1051713378|15093219810000.0
1046936010,38.1351504,-101.1705875,"T22S R35W, Sec. 16,  NW SW SE SW",Petroleum Development Company,RICE 1-16,15-093-21970,15093219700000.0,3102.0, KB,1845.0,4965.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2021/1051972546.las,2021.0,1046936010|15093219700000.0
1006079856,38.142867,-101.1779254,"T22S R35W, Sec. 17,    SE NE",Hugoton Energy Corp.,Pinegar 1-17,15-093-21364,15093213640000.0,3133.0, KB,2550.0,3300.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S35W/1029276130.las,,1006079856|15093213640000.0
1006078793,38.13925,-101.1784,"T22S R35W, Sec. 17,   NW NE SE",GULF OIL,BOPP 3-17,15-093-20758,15093207580000.0,3132.0, KB,394.0,2174.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S35W/1028091651.las,,1006078793|15093207580000.0
1050375617,38.127769,-101.171477,"T22S R35W, Sec. 21,  NE SE SW NW",Petroleum Development Company,CROSS BELL FARMS 1-21,15-093-21975,15093219750000.0,3084.0, KB,0.0,4959.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2021/1052103822.las,2021.0,1050375617|15093219750000.0
